Offset-Description                                                                   
0000 - Pointer           DE863300 : P->028DEF14        DE8673C8 : P->028DEF14        
0004 - 4 Bytes           DE863304 : 393216             DE8673CC : 393217             
0008 - 4 Bytes           DE863308 : 655425             DE8673D0 : 35                 
000C - 4 Bytes           DE86330C : 0                  DE8673D4 : 0                  
0010 - 4 Bytes           DE863310 : 0                  DE8673D8 : 0                  
0014 - 4 Bytes           DE863314 : 0                  DE8673DC : 0                  
0018 - 4 Bytes           DE863318 : 0                  DE8673E0 : 0                  
001C - 4 Bytes           DE86331C : 0                  DE8673E4 : 0                  
0020 - 4 Bytes           DE863320 : 0                  DE8673E8 : 0                  
0024 - 4 Bytes           DE863324 : 0                  DE8673EC : 0                  
0028 - 4 Bytes           DE863328 : 0                  DE8673F0 : 0                  
002C - 4 Bytes           DE86332C : 0                  DE8673F4 : 3733336832         
0030 - Pointer to instance of white::battle::BattleCharaDE863330 : P->DE8673C8        DE8673F8 : P->00000000        
0034 - Double            DE863334 : 0.0078125          DE8673FC : -0.00781247019767761
003C - 4 Bytes           DE86333C : 0                  DE867404 : 0                  
0040 - 4 Bytes           DE863340 : 0                  DE867408 : 867941676          
0044 - 4 Bytes           DE863344 : 0                  DE86740C : 0                  
0048 - Double            DE863348 : 0.0078125          DE867410 : 0.0078125          
0050 - 4 Bytes           DE863350 : 0                  DE867418 : 0                  
0054 - 4 Bytes           DE863354 : 0                  DE86741C : 0                  
0058 - 4 Bytes           DE863358 : 0                  DE867420 : 3015425324         
005C - Double            DE86335C : 0.0078125          DE867424 : -0.00781247019767761
0064 - 4 Bytes           DE863364 : 0                  DE86742C : 0                  
0068 - Float             DE863368 : 200                DE867430 : 200                
006C - 4 Bytes (Hex)     DE86336C : 34800000           DE867434 : 34000000           
0070 - Float             DE863370 : -604               DE867438 : -597               
0074 - Float             DE863374 : 1                  DE86743C : 1                  
0078 - Float             DE863378 : 1                  DE867440 : 0.9999990463       
007C - 4 Bytes           DE86337C : 0                  DE867444 : 0                  
0080 - 4 Bytes           DE863380 : 0                  DE867448 : 0                  
0084 - 4 Bytes           DE863384 : 0                  DE86744C : 0                  
0088 - Double            DE863388 : 0.0078125          DE867450 : 0.0078125          
0090 - 4 Bytes           DE863390 : 0                  DE867458 : 0                  
0094 - 4 Bytes           DE863394 : 0                  DE86745C : 0                  
0098 - 4 Bytes           DE863398 : 0                  DE867460 : 0                  
009C - Double            DE86339C : 0.0078125          DE867464 : 0.00781244039535522
00A4 - 4 Bytes           DE8633A4 : 0                  DE86746C : 0                  
00A8 - 4 Bytes           DE8633A8 : 0                  DE867470 : 0                  
