Offset-Description                                                                   
0000 - Pointer           DE7D73C8 : P->028DEF14        DE7D3300 : P->028DEF14        
0004 - 4 Bytes           DE7D73CC : 262145             DE7D3304 : 262144             
0008 - 4 Bytes           DE7D73D0 : 524353             DE7D3308 : 35                 
000C - 4 Bytes           DE7D73D4 : 0                  DE7D330C : 0                  
0010 - 4 Bytes           DE7D73D8 : 0                  DE7D3310 : 0                  
0014 - 4 Bytes           DE7D73DC : 0                  DE7D3314 : 0                  
0018 - 4 Bytes           DE7D73E0 : 0                  DE7D3318 : 0                  
001C - 4 Bytes           DE7D73E4 : 0                  DE7D331C : 0                  
0020 - 4 Bytes           DE7D73E8 : 0                  DE7D3320 : 0                  
0024 - 4 Bytes           DE7D73EC : 0                  DE7D3324 : 0                  
0028 - 4 Bytes           DE7D73F0 : 0                  DE7D3328 : 0                  
002C - 4 Bytes           DE7D73F4 : 0                  DE7D332C : 3732763592         
0030 - Pointer to instance of white::battle::BattleCharaDE7D73F8 : P->DE7D3300        DE7D3330 : P->00000000        
0034 - Double            DE7D73FC : 0.0078125          DE7D3334 : -0.00781247019767761
003C - 4 Bytes           DE7D7404 : 0                  DE7D333C : 0                  
0040 - 4 Bytes           DE7D7408 : 0                  DE7D3340 : 867941676          
0044 - 4 Bytes           DE7D740C : 0                  DE7D3344 : 0                  
0048 - Double            DE7D7410 : 0.0078125          DE7D3348 : 0.0078125          
0050 - 4 Bytes           DE7D7418 : 0                  DE7D3350 : 0                  
0054 - 4 Bytes           DE7D741C : 0                  DE7D3354 : 0                  
0058 - 4 Bytes           DE7D7420 : 0                  DE7D3358 : 3015425324         
005C - Double            DE7D7424 : 0.0078125          DE7D335C : -0.00781247019767761
0064 - 4 Bytes           DE7D742C : 0                  DE7D3364 : 0                  
0068 - Float             DE7D7430 : 200                DE7D3368 : 200                
006C - 4 Bytes (Hex)     DE7D7434 : 34800000           DE7D336C : 34000000           
0070 - Float             DE7D7438 : -604               DE7D3370 : -597               
0074 - Float             DE7D743C : 1                  DE7D3374 : 1                  
0078 - Float             DE7D7440 : 1                  DE7D3378 : 0.9999990463       
007C - 4 Bytes           DE7D7444 : 0                  DE7D337C : 0                  
0080 - 4 Bytes           DE7D7448 : 0                  DE7D3380 : 0                  
0084 - 4 Bytes           DE7D744C : 0                  DE7D3384 : 0                  
0088 - Double            DE7D7450 : 0.0078125          DE7D3388 : 0.0078125          
0090 - 4 Bytes           DE7D7458 : 0                  DE7D3390 : 0                  
0094 - 4 Bytes           DE7D745C : 0                  DE7D3394 : 0                  
0098 - 4 Bytes           DE7D7460 : 0                  DE7D3398 : 0                  
009C - Double            DE7D7464 : 0.0078125          DE7D339C : 0.00781244039535522
00A4 - 4 Bytes           DE7D746C : 0                  DE7D33A4 : 0                  
00A8 - 4 Bytes           DE7D7470 : 0                  DE7D33A8 : 0                  
00AC - 4 Bytes           DE7D7474 : 0                  DE7D33AC : 0                  
00B0 - Double            DE7D7478 : 0.0078125          DE7D33B0 : 0.0078125          
00B8 - 4 Bytes           DE7D7480 : 0                  DE7D33B8 : 0                  
00BC - 4 Bytes           DE7D7484 : 0                  DE7D33BC : 0                  
00C0 - 4 Bytes           DE7D7488 : 0                  DE7D33C0 : 0                  
00C4 - 4 Bytes           DE7D748C : 0                  DE7D33C4 : 0                  
00C8 - 4 Bytes           DE7D7490 : 0                  DE7D33C8 : 0                  
00CC - 4 Bytes           DE7D7494 : 0                  DE7D33CC : 0                  
00D0 - 4 Bytes           DE7D7498 : 0                  DE7D33D0 : 0                  
00D4 - 4 Bytes           DE7D749C : 0                  DE7D33D4 : 0                  
00D8 - 4 Bytes           DE7D74A0 : 0                  DE7D33D8 : 0                  
00DC - 4 Bytes           DE7D74A4 : 0                  DE7D33DC : 0                  
00E0 - Double            DE7D74A8 : 0.0078125          DE7D33E0 : 0.0078125          
00E8 - 4 Bytes           DE7D74B0 : 0                  DE7D33E8 : 0                  
00EC - 4 Bytes           DE7D74B4 : 0                  DE7D33EC : 0                  
00F0 - Double            DE7D74B8 : 0.0078125          DE7D33F0 : 0.0078125          
00F8 - String            DE7D74C0 : at010_00           DE7D33F8 : m320_ac00          
0101 - 4 Bytes (有符号)DE7D74C9 : 0                  DE7D3401 : 48                 
0102 - Byte              DE7D74CA : 0                  DE7D3402 : 0                  
0103 - Byte              DE7D74CB : 0                  DE7D3403 : 0                  
0104 - 4 Bytes           DE7D74CC : 0                  DE7D3404 : 0                  
0108 - String            DE7D74D0 : at010_00_          DE7D3408 : m320_ac00          
0111 - Byte              DE7D74D9 : 118                DE7D3411 : 48                 
0112 - Byte              DE7D74DA : 0                  DE7D3412 : 0                  
0113 - Byte              DE7D74DB : 0                  DE7D3413 : 0                  
0114 - 4 Bytes           DE7D74DC : 0                  DE7D3414 : 0                  
0118 - 4 Bytes           DE7D74E0 : 0                  DE7D3418 : 0                  
011C - 4 Bytes           DE7D74E4 : 0                  DE7D341C : 0                  
0120 - 4 Bytes           DE7D74E8 : 0                  DE7D3420 : 0                  
0124 - 4 Bytes           DE7D74EC : 0                  DE7D3424 : 0                  
0128 - 4 Bytes           DE7D74F0 : 0                  DE7D3428 : 0                  
012C - 4 Bytes           DE7D74F4 : 0                  DE7D342C : 0                  
0130 - 4 Bytes           DE7D74F8 : 0                  DE7D3430 : 0                  
0134 - 4 Bytes           DE7D74FC : 0                  DE7D3434 : 0                  
0138 - String            DE7D7500 : m320_ac000         DE7D3438 : at010_00           
0143 - Byte              DE7D750B : 0                  DE7D3443 : 0                  
0144 - 4 Bytes           DE7D750C : 0                  DE7D3444 : 0                  
0148 - String            DE7D7510 : m320_ac000         DE7D3448 : at010_00           
0153 - Byte              DE7D751B : 0                  DE7D3453 : 0                  
0154 - 4 Bytes           DE7D751C : 0                  DE7D3454 : 0                  
0158 - 4 Bytes           DE7D7520 : 0                  DE7D3458 : 0                  
015C - 4 Bytes           DE7D7524 : 0                  DE7D345C : 0                  
0160 - 4 Bytes           DE7D7528 : 0                  DE7D3460 : 0                  
0164 - 4 Bytes           DE7D752C : 0                  DE7D3464 : 0                  
0168 - 4 Bytes           DE7D7530 : 0                  DE7D3468 : 0                  
016C - 4 Bytes           DE7D7534 : 0                  DE7D346C : 0                  
0170 - 4 Bytes           DE7D7538 : 0                  DE7D3470 : 0                  
0174 - 4 Bytes           DE7D753C : 0                  DE7D3474 : 0                  
0178 - 4 Bytes           DE7D7540 : 0                  DE7D3478 : 0                  
017C - 4 Bytes           DE7D7544 : 0                  DE7D347C : 0                  
0180 - 4 Bytes           DE7D7548 : 0                  DE7D3480 : 0                  
0184 - 4 Bytes           DE7D754C : 0                  DE7D3484 : 0                  
0188 - 4 Bytes           DE7D7550 : 0                  DE7D3488 : 0                  
018C - 4 Bytes           DE7D7554 : 0                  DE7D348C : 0                  
0190 - 4 Bytes           DE7D7558 : 0                  DE7D3490 : 0                  
0194 - 4 Bytes           DE7D755C : 0                  DE7D3494 : 0                  
0198 - 4 Bytes           DE7D7560 : 0                  DE7D3498 : 0                  
019C - 4 Bytes           DE7D7564 : 0                  DE7D349C : 0                  
01A0 - 4 Bytes           DE7D7568 : 0                  DE7D34A0 : 0                  
01A4 - 4 Bytes           DE7D756C : 4294967295         DE7D34A4 : 4294967295         
01A8 - 4 Bytes           DE7D7570 : 4294967295         DE7D34A8 : 4294967295         
01AC - 4 Bytes           DE7D7574 : 262145             DE7D34AC : 262144             
01B0 - Pointer           DE7D7578 : P->028DDE84        DE7D34B0 : P->028DDE84        
01B4 - Pointer           DE7D757C : P->028DDD9C        DE7D34B4 : P->028DDD9C        
01B8 - Pointer           DE7D7580 : P->028DDD80        DE7D34B8 : P->028DDD80        
01BC - 4 Bytes (Hex)     DE7D7584 : 000600FA           DE7D34BC : 000200F8           
01C0 - 4 Bytes           DE7D7588 : 4294967295         DE7D34C0 : 1                  
01C4 - 4 Bytes           DE7D758C : 4294967295         DE7D34C4 : 4294967295         
01C8 - 4 Bytes           DE7D7590 : 4294967295         DE7D34C8 : 4294967295         
01CC - 4 Bytes           DE7D7594 : 4294967295         DE7D34CC : 4294967295         
01D0 - 4 Bytes           DE7D7598 : 4294967295         DE7D34D0 : 4294967295         
01D4 - 4 Bytes           DE7D759C : 4294967295         DE7D34D4 : 4294967295         
01D8 - 4 Bytes           DE7D75A0 : 4294967295         DE7D34D8 : 4294967295         
01DC - 4 Bytes           DE7D75A4 : 4294967295         DE7D34DC : 4294967295         
01E0 - 4 Bytes           DE7D75A8 : 4294967295         DE7D34E0 : 4294967295         
01E4 - 4 Bytes           DE7D75AC : 4294967295         DE7D34E4 : 4294967295         
01E8 - 4 Bytes           DE7D75B0 : 4294967295         DE7D34E8 : 4294967295         
01EC - 4 Bytes           DE7D75B4 : 262144             DE7D34EC : 262145             
01F0 - 4 Bytes           DE7D75B8 : 4294967295         DE7D34F0 : 4294967295         
01F4 - 4 Bytes           DE7D75BC : 4294967295         DE7D34F4 : 4294967295         
01F8 - 4 Bytes           DE7D75C0 : 262144             DE7D34F8 : 262145             
01FC - 4 Bytes (Hex)     DE7D75C4 : 00001F95           DE7D34FC : 000027D5           
0200 - 4 Bytes (Hex)     DE7D75C8 : 00001F95           DE7D3500 : 000027D5           
0204 - 4 Bytes (Hex)     DE7D75CC : E0000000           DE7D3504 : 00002793           
0208 - 4 Bytes (Hex)     DE7D75D0 : 00001F95           DE7D3508 : 000021C6           
020C - 4 Bytes (Hex)     DE7D75D4 : E0000000           DE7D350C : 00002793           
0210 - 4 Bytes           DE7D75D8 : 0                  DE7D3510 : 0                  
0214 - Pointer           DE7D75DC : P->E0000000        DE7D3514 : P->E0000000        
0218 - 4 Bytes (Hex)     DE7D75E0 : E0000000           DE7D3518 : 000027D5           
021C - Pointer           DE7D75E4 : P->E0000000        DE7D351C : P->E0000000        
0220 - Pointer           DE7D75E8 : P->E0000000        DE7D3520 : P->E0000000        
0224 - Pointer           DE7D75EC : P->E0000000        DE7D3524 : P->E0000000        
0228 - 4 Bytes           DE7D75F0 : 0                  DE7D3528 : 0                  
022C - 4 Bytes           DE7D75F4 : 0                  DE7D352C : 0                  
0230 - Pointer           DE7D75F8 : P->E0001D64        DE7D3530 : P->00002310        
0234 - 4 Bytes (Hex)     DE7D75FC : 00001F95           DE7D3534 : 000021C6           
0238 - Double            DE7D7600 : 0.0078125          DE7D3538 : 0.0078125          
0240 - Float             DE7D7608 : 1                  DE7D3540 : 1                  
0244 - 4 Bytes           DE7D760C : 0                  DE7D3544 : 0                  
0248 - Float             DE7D7610 : 8                  DE7D3548 : 8                  
024C - Float             DE7D7614 : 2500               DE7D354C : 500                
0250 - Float             DE7D7618 : 1                  DE7D3550 : 1                  
0254 - Float             DE7D761C : 0.174532935        DE7D3554 : 0.174532935        
0258 - 4 Bytes           DE7D7620 : 0                  DE7D3558 : 0                  
025C - 4 Bytes           DE7D7624 : 1751               DE7D355C : 1183               
0260 - 4 Bytes           DE7D7628 : 0                  DE7D3560 : 0                  
0264 - 4 Bytes           DE7D762C : 133                DE7D3564 : 133                
0268 - 4 Bytes           DE7D7630 : 4294967295         DE7D3568 : 4294967295         
026C - 4 Bytes           DE7D7634 : 4294967295         DE7D356C : 1966210            
0270 - 4 Bytes           DE7D7638 : 4294967295         DE7D3570 : 4294901760         
0274 - 4 Bytes           DE7D763C : 4294967295         DE7D3574 : 4294967295         
0278 - 4 Bytes           DE7D7640 : 4294967295         DE7D3578 : 4294967295         
027C - 4 Bytes (Hex)     DE7D7644 : 0043CC00           DE7D357C : 00420F00           
0280 - 4 Bytes (Hex)     DE7D7648 : 0A020C00           DE7D3580 : 12420000           
0284 - 4 Bytes (Hex)     DE7D764C : 80A08040           DE7D3584 : 80E08040           
0288 - Pointer           DE7D7650 : P->01800003        DE7D3588 : P->01800003        
028C - 4 Bytes           DE7D7654 : 64                 DE7D358C : 0                  
0290 - 4 Bytes           DE7D7658 : 262144             DE7D3590 : 2048               
